target_name,target_gini,belief_slope,demanded_position
0%_of_reach,0.45409574250721807,0.25,0.0
0%_of_reach,0.45409574250721807,0.5,0.0
0%_of_reach,0.45409574250721807,0.75,0.0
0%_of_reach,0.45409574250721807,1.0,0.0
0%_of_reach,0.45409574250721807,1.5,0.0
0%_of_reach,0.45409574250721807,2.0,0.0
25%_of_reach,0.4439570732184321,0.25,1.0
25%_of_reach,0.4439570732184321,0.5,0.5
25%_of_reach,0.4439570732184321,0.75,0.325
25%_of_reach,0.4439570732184321,1.0,0.25
25%_of_reach,0.4439570732184321,1.5,0.17500000000000002
25%_of_reach,0.4439570732184321,2.0,0.125
50%_of_reach,0.4338184039296461,0.25,1.0
50%_of_reach,0.4338184039296461,0.5,1.0
50%_of_reach,0.4338184039296461,0.75,0.65
50%_of_reach,0.4338184039296461,1.0,0.5
50%_of_reach,0.4338184039296461,1.5,0.325
50%_of_reach,0.4338184039296461,2.0,0.25
75%_of_reach,0.4236797346408601,0.25,1.0
75%_of_reach,0.4236797346408601,0.5,1.0
75%_of_reach,0.4236797346408601,0.75,1.0
75%_of_reach,0.4236797346408601,1.0,0.75
75%_of_reach,0.4236797346408601,1.5,0.5
75%_of_reach,0.4236797346408601,2.0,0.375
100%_of_reach,0.41354106535207413,0.25,1.0
100%_of_reach,0.41354106535207413,0.5,1.0
100%_of_reach,0.41354106535207413,0.75,1.0
100%_of_reach,0.41354106535207413,1.0,1.0
100%_of_reach,0.41354106535207413,1.5,0.65
100%_of_reach,0.41354106535207413,2.0,0.5
