target_name,target_gini,belief_slope,median_ideal,n_equilibria,enacted,enacted_gini,planner_optimum
0%_of_reach,0.45409574250721807,0.25,0.0,1,0.0,0.45409574250721807,1.0
0%_of_reach,0.45409574250721807,0.5,0.0,1,0.0,0.45409574250721807,1.0
0%_of_reach,0.45409574250721807,0.75,0.0,1,0.0,0.45409574250721807,1.0
0%_of_reach,0.45409574250721807,1.0,0.0,1,0.0,0.45409574250721807,1.0
0%_of_reach,0.45409574250721807,1.5,0.0,1,0.0,0.45409574250721807,1.0
0%_of_reach,0.45409574250721807,2.0,0.0,1,0.0,0.45409574250721807,1.0
25%_of_reach,0.4439570732184321,0.25,1.0,1,1.0,0.41354106535207413,1.0
25%_of_reach,0.4439570732184321,0.5,0.5,1,0.5,0.433580011284337,1.0
25%_of_reach,0.4439570732184321,0.75,0.325,1,0.325,0.4407087714631681,1.0
25%_of_reach,0.4439570732184321,1.0,0.25,1,0.25,0.4437814218182613,1.0
25%_of_reach,0.4439570732184321,1.5,0.17500000000000002,1,0.17500000000000002,0.4468644416533615,1.0
25%_of_reach,0.4439570732184321,2.0,0.125,1,0.125,0.4489254623604819,1.0
50%_of_reach,0.4338184039296461,0.25,1.0,1,1.0,0.41354106535207413,1.0
50%_of_reach,0.4338184039296461,0.5,1.0,1,1.0,0.41354106535207413,1.0
50%_of_reach,0.4338184039296461,0.75,0.65,1,0.65,0.42751653243320786,1.0
50%_of_reach,0.4338184039296461,1.0,0.5,1,0.5,0.433580011284337,1.0
50%_of_reach,0.4338184039296461,1.5,0.325,1,0.325,0.4407087714631681,1.0
50%_of_reach,0.4338184039296461,2.0,0.25,1,0.25,0.4437814218182613,1.0
75%_of_reach,0.4236797346408601,0.25,1.0,1,1.0,0.41354106535207413,1.0
75%_of_reach,0.4236797346408601,0.5,1.0,1,1.0,0.41354106535207413,1.0
75%_of_reach,0.4236797346408601,0.75,1.0,1,1.0,0.41354106535207413,1.0
75%_of_reach,0.4236797346408601,1.0,0.75,1,0.75,0.42349904382905934,1.0
75%_of_reach,0.4236797346408601,1.5,0.5,1,0.5,0.433580011284337,1.0
75%_of_reach,0.4236797346408601,2.0,0.375,1,0.375,0.4386661082344293,1.0
100%_of_reach,0.41354106535207413,0.25,1.0,1,1.0,0.41354106535207413,1.0
100%_of_reach,0.41354106535207413,0.5,1.0,1,1.0,0.41354106535207413,1.0
100%_of_reach,0.41354106535207413,0.75,1.0,1,1.0,0.41354106535207413,1.0
100%_of_reach,0.41354106535207413,1.0,1.0,1,1.0,0.41354106535207413,1.0
100%_of_reach,0.41354106535207413,1.5,0.65,1,0.65,0.42751653243320786,1.0
100%_of_reach,0.41354106535207413,2.0,0.5,1,0.5,0.433580011284337,1.0
