bias_dollars,mean_ranking_accuracy,p_tracked,p_tracked_se,mean_regret,mean_turnout,p_no_winner,p_win_0,p_win_1
0.0,0.582216282145852,1.0,0.0,0.0,1.0,0.0,1.0,0.0
400.0,0.6522216685573872,0.0,0.0,284990.6459729219,1.0,0.0,0.0,1.0
800.0,0.7127235901291222,0.0,0.0,284990.6459729219,1.0,0.0,0.0,1.0
1200.0,0.7596304605356794,0.0,0.0,284990.6459729219,1.0,0.0,0.0,1.0
1600.0,0.7915303496362084,0.0,0.0,284990.6459729219,1.0,0.0,0.0,1.0
2000.0,0.8095852864463077,0.0,0.0,284990.6459729219,1.0,0.0,0.0,1.0
2400.0,0.8167264858484732,0.0,0.0,284990.6459729219,1.0,0.0,0.0,1.0
2800.0,0.8165672806901565,0.0,0.0,284990.6459729219,1.0,0.0,0.0,1.0
3200.0,0.8124583657712969,0.0,0.0,284990.6459729219,1.0,0.0,0.0,1.0
3600.0,0.8069323913842489,0.0,0.0,284990.6459729219,1.0,0.0,0.0,1.0
4000.0,0.8015615643500196,0.0,0.0,284990.6459729219,1.0,0.0,0.0,1.0
