sigma,sociotropic_share,n_equilibria,ibr_converged,ibr_cycle,mean_enacted_alpha,mean_enacted_beta,max_proposal_alpha
1000.0,0.0,1,True,False,0.1884923002100275,0.0461450570828493,0.35000000000000003
1000.0,0.02,0,False,True,,,0.15000000000000002
1000.0,0.05,1,True,False,9.915502414709774e-09,0.0,0.1
1000.0,0.1,3,True,False,5.241030872333962e-26,0.0,0.1
1000.0,0.2,3,True,False,2.449186347898741e-95,0.0,0.1
1000.0,0.3,3,True,False,3.12804424291821e-220,0.0,0.1
1000.0,0.5,3,True,False,0.0,0.0,0.1
10000.0,0.0,1,True,False,0.6487520100045011,0.24587359299684924,1.0
10000.0,0.02,0,False,True,,,1.0
10000.0,0.05,0,False,True,,,0.9
10000.0,0.1,3,False,True,1.953773582104375e-25,0.0,0.1
10000.0,0.2,3,False,True,2.388261849189623e-94,0.0,0.1
10000.0,0.3,3,False,True,6.915278995227476e-219,0.0,0.1
10000.0,0.5,3,True,False,0.0,0.0,0.1
30000.0,0.0,1,True,False,0.54550322615824,0.45449677384176,1.0
30000.0,0.02,0,False,True,,,1.0
30000.0,0.05,0,False,True,,,1.0
30000.0,0.1,3,False,True,2.1628616755634417e-25,0.0,0.1
30000.0,0.2,3,False,True,2.885977117699583e-94,0.0,0.1
30000.0,0.3,3,False,True,9.09515088350582e-219,0.0,0.1
30000.0,0.5,3,True,False,0.0,0.0,0.1
