rule,sigma,p_tracked,p_tracked_lo,p_tracked_hi,mean_regret_dollars,mean_turnout,share_no_winner,share_enacts_a,share_enacts_b
plurality,0.0,1.0,0.9842460800584412,1.0,0.0,1.0,0.0,0.0,0.0
plurality,10.0,1.0,0.9842460800584412,1.0,0.0,1.0,0.0,0.0,0.0
plurality,50.0,1.0,0.9842460800584412,1.0,0.0,1.0,0.0,0.0,0.0
plurality,200.0,1.0,0.9842460800584412,1.0,0.0,1.0,0.0,0.0,0.0
plurality,1000.0,0.9791666666666666,0.9521666228373029,0.9910692038853699,3.5268264999591943,1.0,0.0,0.020833333333333332,0.0
plurality,3000.0,0.6416666666666667,0.5792078863275102,0.6996618363557149,60.66141579929815,1.0,0.0,0.35833333333333334,0.0
plurality,10000.0,0.5041666666666667,0.44134585989980735,0.5668561907673463,114.52995064138146,1.0,0.0,0.35,0.14583333333333334
plurality,30000.0,0.36666666666666664,0.30824593278719575,0.42928844586388654,171.89465461973364,1.0,0.0,0.325,0.30833333333333335
approval,0.0,0.0,0.0,0.015753919941558815,169.28767199804133,0.22999158417491586,0.0,1.0,0.0
approval,10.0,1.0,0.9842460800584412,1.0,0.0,0.6147822717728227,0.0,0.0,0.0
approval,50.0,1.0,0.9842460800584412,1.0,0.0,0.6150072492750724,0.0,0.0,0.0
approval,200.0,1.0,0.9842460800584412,1.0,0.0,0.6616492517414925,0.0,0.0,0.0
approval,1000.0,1.0,0.9842460800584412,1.0,0.0,0.8301032396760325,0.0,0.0,0.0
approval,3000.0,0.8833333333333333,0.8365512512191454,0.9180374101589929,19.75022839977149,0.8640456787654569,0.0,0.11666666666666667,0.0
approval,10000.0,0.6,0.5369150750381051,0.659934140973583,79.95166077615758,0.8731385194813851,0.0,0.3416666666666667,0.058333333333333334
approval,30000.0,0.4166666666666667,0.3560860261657873,0.4798729604911392,147.69750990662166,0.8742925707429258,0.0,0.35,0.23333333333333334
score_ballot_0_5,0.0,1.0,0.9842460800584412,1.0,0.0,1.0,0.0,0.0,0.0
score_ballot_0_5,10.0,1.0,0.9842460800584412,1.0,0.0,1.0,0.0,0.0,0.0
score_ballot_0_5,50.0,1.0,0.9842460800584412,1.0,0.0,1.0,0.0,0.0,0.0
score_ballot_0_5,200.0,1.0,0.9842460800584412,1.0,0.0,1.0,0.0,0.0,0.0
score_ballot_0_5,1000.0,1.0,0.9842460800584412,1.0,0.0,1.0,0.0,0.0,0.0
score_ballot_0_5,3000.0,0.8208333333333333,0.7673804761591676,0.8641774252116654,30.330707899649074,1.0,0.0,0.17916666666666667,0.0
score_ballot_0_5,10000.0,0.5583333333333333,0.49507883174387257,0.6197498775962789,90.50148291234485,1.0,0.0,0.36666666666666664,0.075
score_ballot_0_5,30000.0,0.4083333333333333,0.3480669188526184,0.4714879664700007,152.6044096428742,1.0,0.0,0.3416666666666667,0.25
score_stakes,0.0,1.0,0.9842460800584412,1.0,0.0,1.0,0.0,0.0,0.0
score_stakes,10.0,1.0,0.9842460800584412,1.0,0.0,1.0,0.0,0.0,0.0
score_stakes,50.0,1.0,0.9842460800584412,1.0,0.0,1.0,0.0,0.0,0.0
score_stakes,200.0,1.0,0.9842460800584412,1.0,0.0,1.0,0.0,0.0,0.0
score_stakes,1000.0,1.0,0.9842460800584412,1.0,0.0,1.0,0.0,0.0,0.0
score_stakes,3000.0,0.8583333333333333,0.8085576827128405,0.8968186746623756,23.982420199722522,1.0,0.0,0.14166666666666666,0.0
score_stakes,10000.0,0.5166666666666667,0.4536811164159315,0.5791270862526832,93.18492449192715,1.0,0.0,0.42916666666666664,0.05416666666666667
score_stakes,30000.0,0.39166666666666666,0.3320830242376262,0.4546636584163782,158.04799769504322,1.0,0.0,0.3458333333333333,0.2625
star_0_5,0.0,1.0,0.9842460800584412,1.0,0.0,1.0,0.0,0.0,0.0
star_0_5,10.0,1.0,0.9842460800584412,1.0,0.0,1.0,0.0,0.0,0.0
star_0_5,50.0,1.0,0.9842460800584412,1.0,0.0,1.0,0.0,0.0,0.0
star_0_5,200.0,1.0,0.9842460800584412,1.0,0.0,1.0,0.0,0.0,0.0
star_0_5,1000.0,1.0,0.9842460800584412,1.0,0.0,1.0,0.0,0.0,0.0
star_0_5,3000.0,0.7958333333333333,0.7403647376289731,0.8419808597389379,34.5628996996001,1.0,0.0,0.20416666666666666,0.0
star_0_5,10000.0,0.5583333333333333,0.49507883174387257,0.6197498775962789,93.99765204861372,1.0,0.0,0.35,0.09166666666666666
star_0_5,30000.0,0.3416666666666667,0.2845811762164111,0.4037408984317492,173.50471956748302,1.0,0.0,0.3625,0.29583333333333334
instant_runoff,0.0,1.0,0.9842460800584412,1.0,0.0,1.0,0.0,0.0,0.0
instant_runoff,10.0,1.0,0.9842460800584412,1.0,0.0,1.0,0.0,0.0,0.0
instant_runoff,50.0,1.0,0.9842460800584412,1.0,0.0,1.0,0.0,0.0,0.0
instant_runoff,200.0,1.0,0.9842460800584412,1.0,0.0,1.0,0.0,0.0,0.0
instant_runoff,1000.0,1.0,0.9842460800584412,1.0,0.0,1.0,0.0,0.0,0.0
instant_runoff,3000.0,0.7791666666666667,0.7225187625633844,0.8270186321359119,37.38436089956746,1.0,0.0,0.22083333333333333,0.0
instant_runoff,10000.0,0.5708333333333333,0.5075830430993526,0.6318518182422599,89.25942929643655,1.0,0.0,0.35,0.07916666666666666
instant_runoff,30000.0,0.37083333333333335,0.3122070088560195,0.43352942046221654,171.18928931974182,1.0,0.0,0.32083333333333336,0.30833333333333335
approval_inclusive,0.0,1.0,0.9842460800584412,1.0,0.0,1.0,0.0,0.0,0.0
approval_inclusive,10.0,1.0,0.9842460800584412,1.0,0.0,0.6149418391494185,0.0,0.0,0.0
approval_inclusive,50.0,1.0,0.9842460800584412,1.0,0.0,0.6145264640202647,0.0,0.0,0.0
approval_inclusive,200.0,1.0,0.9842460800584412,1.0,0.0,0.6613859447388594,0.0,0.0,0.0
approval_inclusive,1000.0,1.0,0.9842460800584412,1.0,0.0,0.8298665966736659,0.0,0.0,0.0
approval_inclusive,3000.0,0.8583333333333333,0.8085576827128405,0.8968186746623756,23.982420199722522,0.8638602806386028,0.0,0.14166666666666666,0.0
approval_inclusive,10000.0,0.5875,0.5243172909706177,0.6479257730396095,82.94179896020032,0.8729543712295438,0.0,0.35,0.0625
approval_inclusive,30000.0,0.38333333333333336,0.3241186108025017,0.4462239705171954,169.07319341976628,0.8744446388694463,0.0,0.30833333333333335,0.30833333333333335
