selfish_weight,sigma,n_equilibria,mean_enacted_alpha,mean_enacted_beta,mean_expected_welfare,max_expected_welfare,min_expected_welfare,mean_position_distance,ibr_converged,ibr_cycle,ibr_position_1_alpha,ibr_position_1_beta,ibr_position_2_alpha,ibr_position_2_beta
0.0,0.0,881,0.0,0.0,0.0,0.0,0.0,1.0011,True,False,0.0,0.0,0.0,0.0
0.0,10.0,881,0.0,0.0,0.0,0.0,0.0,1.0011,True,False,0.0,0.0,0.0,0.0
0.0,50.0,879,0.0,0.0,0.0,0.0,0.0,1.0033,True,False,0.0,0.0,0.0,0.0
0.0,200.0,865,0.0,0.0,-2.19948e-11,0.0,-9.07545e-09,1.0173,True,False,0.0,0.0,0.0,0.0
0.0,1000.0,565,0.0,0.0,-8.7272e-09,0.0,-5.23493e-07,1.2149,True,False,0.0,0.0,0.0,0.0
0.0,3000.0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0.0,0.0,0.0,0.0
0.0,10000.0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0.0,0.0,0.0,0.0
0.0,30000.0,1,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0.0,0.0,0.0,0.0
0.5,0.0,442,0.0,0.0,0.0,0.0,0.0,0.9979,True,False,0.0,0.0,0.0,0.0
0.5,10.0,441,0.0,0.0,0.0,0.0,0.0,1.0,True,False,0.0,0.0,0.0,0.0
0.5,50.0,1,0.0,0.0,-0.0035895,-0.0035895,-0.0035895,0.05,True,False,0.05,0.0,0.0,0.0
0.5,200.0,1,0.0142,0.0,-3161.3,-3161.3,-3161.3,0.05,True,False,0.05,0.0,0.0,0.0
0.5,1000.0,1,0.0708,0.0,-15910.1,-15910.1,-15910.1,0.25,True,False,0.25,0.0,0.0,0.0
0.5,3000.0,1,0.2135,0.0,-48818.2,-48818.2,-48818.2,0.8,True,False,0.8,0.0,0.0,0.0
0.5,10000.0,1,0.4192,0.0,-96222.8,-96222.8,-96222.8,1.0,True,False,1.0,0.0,0.0,0.0
0.5,30000.0,1,0.4735,0.0,-108680.0,-108680.0,-108680.0,1.0,True,False,1.0,0.0,0.0,0.0
1.0,0.0,442,0.0,0.0,0.0,0.0,0.0,0.9979,True,False,0.0,0.0,0.0,0.0
1.0,10.0,441,0.0,0.0,0.0,0.0,0.0,1.0,True,False,0.0,0.0,0.0,0.0
1.0,50.0,1,0.0,0.0,-0.0035895,-0.0035895,-0.0035895,0.05,True,False,0.05,0.0,0.0,0.0
1.0,200.0,1,0.0142,0.0,-3161.3,-3161.3,-3161.3,0.05,True,False,0.05,0.0,0.0,0.0
1.0,1000.0,1,0.0708,0.0,-15910.1,-15910.1,-15910.1,0.25,True,False,0.25,0.0,0.0,0.0
1.0,3000.0,1,0.2135,0.0,-48818.2,-48818.2,-48818.2,0.8,True,False,0.8,0.0,0.0,0.0
1.0,10000.0,1,0.4192,0.0,-96222.8,-96222.8,-96222.8,1.0,True,False,1.0,0.0,0.0,0.0
1.0,30000.0,1,0.4735,0.0,-108680.0,-108680.0,-108680.0,1.0,True,False,1.0,0.0,0.0,0.0
